Москва;94%
Санкт-Петербург;68%
Нижний Новгород;96%
Городской округ Нижний Новгород;96%
Ростов-на-Дону;99%
Городской округ Ростов-на-Дону;99%
Екатеринбург;80%
Муниципальное образование Екатеринбург;80%
Краснодар;101%
Городской округ Краснодар;101%
Новосибирск;71%
Городской округ Новосибирск;71%
Киев;72%
Городской округ Казань;114%
Казань;114%
Уфа;101%
Городской округ Уфа;101%
Самара;84%
Городской округ Самара;84%
Димитровград;1 880%
Городской округ Димитровград;1 880%
Минск;86%
Воронеж;68%
Городской округ Воронеж;68%
Красноярск;85%
Челябинск;74%
Городской округ Красноярск;85%
Челябинский городской округ;74%
Саратов;79%
Городской округ Саратов;79%
Оренбург;128%
Городской округ Оренбург;128%
Вашингтон;570%
Пермь;69%
Городской округ Пермь;69%
Ставрополь;108%
Городской округ Ставрополь;108%
Волгоград;79%
Городской округ Волгоград;79%
Омск;71%
Городской округ Омск;71%
Ульяновск;119%
Городской округ Ульяновск;119%
Чебоксары;124%
Городской округ Чебоксары;124%
Барнаул;76%
Городской округ Барнаул;76%
Тюмень;70%
Городской округ Тюмень;70%
Владивостокский городской округ;97%
Владивосток;98%
Ярославль;80%
Ижевск;79%
Городской округ Ярославль;80%
Городской округ Ижевск;79%
Иркутск;61%
Городской округ Иркутск;61%
Хабаровск;85%
Городской округ Хабаровск;85%
Тольятти;101%
Городской округ Тольятти;101%
Набережные Челны;135%
Городской округ Набережные Челны;135%
Орёл;125%
Городской округ Орёл;125%
Брянск;97%
Городской округ Брянск;97%
Липецк;87%
Городской округ Липецк;87%
Харьков;63%
Томск;87%
Городской округ Томск;87%
Киров;69%
Городской округ Киров;69%
Кемерово;71%
Кемеровский городской округ;71%
Городской округ Тула;61%
Пенза;71%
Городской округ Пенза;71%
Тула;60%
Владикавказ;171%
Городской округ Владикавказ;171%
Курск;77%
Владимир;94%
Городской округ Владимир;94%
Городской округ Курск;77%
Рязань;59%
Городской округ Рязань;59%
Белгород;70%
Городской округ Белгород;70%
Калуга;90%
Городской округ Калуга;89%
Магнитогорск;147%
Магнитогорский городской округ;147%
Иваново;80%
Городской округ Иваново;80%
Вологда;83%
Городской округ Вологда;83%
Одинцовский район;100%
Смоленск;95%
Городской округ Смоленск;95%
Архангельск;84%
Муниципальное образование Архангельск;84%
Тверь;66%
Городской округ Тверь;66%
Астрахань;88%
Городской округ Астрахань;88%
Калининград;77%
Городской округ Калининград;77%
Махачкала;80%
Городской округ Махачкала;80%
Сочи;83%
Городской округ Сочи;83%
Симферополь;68%
Городской округ Симферополь;68%
Мариуполь;143%
Городской округ Мытищи;104%
